method,algorithm,k,seed_1,seed_2,ARI,NMI
PCA,KMeans,6,9422,8095,1.0,1.0
PCA,KMeans,6,9422,6967,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,9422,6140,1.0,1.0
PCA,KMeans,6,8146,6230,0.9139191079533446,0.9206401477201038
PCA,KMeans,6,8146,5201,0.9139191079533446,0.9206401477201038
PCA,KMeans,6,8146,2687,1.0,1.0
PCA,KMeans,6,8146,8095,0.9139191079533446,0.9206401477201038
PCA,KMeans,6,8146,6967,0.956161041730617,0.9531658482228315
PCA,KMeans,6,8146,6140,0.9139191079533446,0.9206401477201038
PCA,KMeans,6,6230,5201,1.0,1.0
PCA,KMeans,6,6230,2687,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,6230,8095,1.0,1.0
PCA,KMeans,6,6230,6967,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,6230,6140,1.0,1.0
PCA,KMeans,6,5201,2687,0.9139191079533446,0.9206401477201038
PCA,KMeans,6,5201,8095,1.0,1.0
PCA,KMeans,6,5201,6967,0.9564257382814382,0.9529670214486988
PCA,KMeans,6,5201,6140,1.0,1.0
PCA,KMeans,6,2687,8095,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,2687,6967,0.956161041730617,0.9531658482228315
PCA,KMeans,6,2687,6140,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,8095,6967,0.9564257382814382,0.9529670214486988
PCA,KMeans,6,8095,6140,1.0,1.0
PCA,KMeans,6,6967,6140,0.9564257382814382,0.9529670214486988
PCA,GMM,6,2407,2981,1.0,1.0000000000000002
PCA,GMM,6,2407,5170,1.0,1.0
PCA,GMM,6,2407,9991,1.0,1.0000000000000002
PCA,GMM,6,2407,3970,1.0,1.0
PCA,GMM,6,2407,3627,1.0,1.0
PCA,GMM,6,2407,3881,1.0,1.0000000000000002
PCA,GMM,6,2407,3812,1.0,1.0000000000000002
PCA,GMM,6,2407,3255,1.0,1.0
PCA,GMM,6,2407,1311,1.0,1.0000000000000002
PCA,GMM,6,2981,5170,1.0,1.0
PCA,GMM,6,2981,9991,1.0,1.0
PCA,GMM,6,2981,3970,1.0,1.0
PCA,GMM,6,2981,3627,1.0,1.0
PCA,GMM,6,2981,3881,1.0,1.0
PCA,GMM,6,2981,3812,1.0,1.0
PCA,GMM,6,2981,3255,1.0,1.0
PCA,GMM,6,2981,1311,1.0,1.0
PCA,GMM,6,5170,9991,1.0,1.0000000000000002
PCA,GMM,6,5170,3970,1.0,1.0
PCA,GMM,6,5170,3627,1.0,1.0
PCA,GMM,6,5170,3881,1.0,1.0000000000000002
PCA,GMM,6,5170,3812,1.0,1.0000000000000002
PCA,GMM,6,5170,3255,1.0,1.0
PCA,GMM,6,5170,1311,1.0,1.0000000000000002
PCA,GMM,6,9991,3970,1.0,1.0
PCA,GMM,6,9991,3627,1.0,1.0
PCA,GMM,6,9991,3881,1.0,1.0
PCA,GMM,6,9991,3812,1.0,1.0
PCA,GMM,6,9991,3255,1.0,1.0
PCA,GMM,6,9991,1311,1.0,1.0
PCA,GMM,6,3970,3627,1.0,1.0
PCA,GMM,6,3970,3881,1.0,1.0000000000000002
PCA,GMM,6,3970,3812,1.0,1.0000000000000002
PCA,GMM,6,3970,3255,1.0,1.0
PCA,GMM,6,3970,1311,1.0,1.0000000000000002
PCA,GMM,6,3627,3881,1.0,1.0000000000000002
PCA,GMM,6,3627,3812,1.0,1.0000000000000002
PCA,GMM,6,3627,3255,1.0,1.0
